Firm Name,CRD Number,AUM (Millions),Website
"MADRYN ASSET MANAGEMENT, LP",286065,906.56,"https://www.linkedin.com/company/madryn-asset-management, https://madrynlp.com/"
"ALLIANCE CONSUMER GROWTH, LLC",163639,901.13,"HTTPS://WWW.ACGPARTNERS.COM, HTTPS://TWITTER.COM/WEAREACG, https://www.linkedin.com/company/alliance-consumer-growth-llc/, https://www.instagram.com/weareacg/?hl=en"
FCO ADVISORS LP,290182,900.75,"https://www.foundationcredit.com/, https://www.linkedin.com/company/foundation-credit/"
"MALABAR INVESTMENTS, LLC",168091,899.7,HTTP://WWW.MALABARINVEST.COM
"CELLO CAPITAL MANAGEMENT, LP",160398,899.32,"https://www.linkedin.com/company/cello-capital-management/, https://www.cellocapital.com"
"HCSF MANAGEMENT, LLC",163598,896.28,"HTTP://WWW.HEADLANDSCAP.NET/, HTTP://WWW.LINKEDIN.COM/COMPANY/HEADLANDS-CAPITAL-MANAGEMENT, HTTP://WWW.HEADLANDSCAP.COM"
VOLOFIN CAPITAL MANAGEMENT (US) LLC,309922,889.88,"https://www.volofin.com/, https://www.linkedin.com/company/volofin-capital-management/"
MADISON RIVER CAPITAL LLC,286411,888.64,"https://www.mrivercapital.com/, https://www.linkedin.com/company/madison-river-capital/"
"ROBOTTI & COMPANY ADVISORS, LLC",128093,881.81,"https://www.youtube.com/@robotticompanyinc.2783, https://www.X.com/BobRobotti, https://www.linkedin.com/company/robotti-&-co-/mycompany/, HTTP://WWW.ROBOTTI.COM"
"STAPLE STREET CAPITAL MANAGEMENT, L.P.",173785,881.81,"HTTP://WWW.STAPLESTREETCAPITAL.COM/, https://www.linkedin.com/company/staple-street-capital"
"ELEQUIN CAPITAL, LP",308371,880.57,https://www.elequincapital.com/
"SIMCOE CAPITAL MANAGEMENT, LLC",161985,868.68,"HTTP://WWW.SIMCOEPARTNERS.COM/, HTTP://WWW.SIMCOECAP.COM/"
"KINGDON CAPITAL MANAGEMENT, L.L.C.",157509,861.88,HTTP://WWW.KINGDON.COM
"SPRINGCOAST CAPITAL PARTNERS, L.P.",327164,861.56,"https://springcoast.com/, https://www.linkedin.com/company/springcoast"
"SADDLE POINT MANAGEMENT, L.P.",329856,857.17,"https://www.linkedin.com/company/saddle-point-management-l-p, https://saddlepointmanagement.com/"
BACKCAST PARTNERS MANAGEMENT LLC,291785,854.57,"HTTPS://WWW.BACKCASTPARTNERS.COM/, https://www.linkedin.com/company/backcastpartners/"
"DLJ REAL ESTATE CAPITAL PARTNERS, LLC",106238,853.01,HTTP://WWW.DLJRECP.COM
"ARGAND PARTNERS, LP",282127,852.46,"http://www.argandequity.com/, http://www.argand.com/, https://www.linkedin.com/company/argand-partners/"
"MAYTECH GLOBAL INVESTMENTS, LLC",285985,848.47,"https://www.linkedin.com/company/maytech-global-investments/, HTTP://WWW.MAYTECHGLOBAL.COM"
"SHANNON RIVER FUND MANAGEMENT, LLC",161538,844.72,http://www.shannonpartners.com/
"CARTESIAN CAPITAL GROUP, LLC",159370,840.22,HTTP://WWW.CARTESIANGROUP.COM
"GLOBAL CREDIT ADVISERS, LLC",147843,840.05,"HTTP://WWW.GLOBALCREDITADVISERS.COM, https://www.linkedin.com/company/global-credit-advisers-llc/"
"OTRO CAPITAL MANAGEMENT, LLC",327232,839.43,"https://www.linkedin.com/company/otro-capital/, https://www.otrocapital.com"
"MALTESE CAPITAL MANAGEMENT, LLC",138175,831.06,HTTPS://WWW.MALTESECAP.COM
"AMERICAN TRIPLE I, LLC",318463,829.17,"https://www.linkedin.com/company/tripleipartners, https://www.atipartners.com/"
"INVESCO PRIVATE CAPITAL, INC.",107584,822.92,HTTP://WWW.INVESCO.COM
CIRRUS REAL ESTATE PARTNERS LP,323210,819.11,"HTTP://WWW.CIRRUSREP.COM, https://www.linkedin.com/company/cirrus-real-estate-partners/, https://twitter.com/CirrusReal, https://www.instagram.com/cirrusrep"
FIRST CITIZENS INSTITUTIONAL ASSET MANAGEMENT LLC,285836,815.01,https://www.firstcitizens.com/commercial/solutions/asset-based-lending
SSW PARTNERS LP,325761,814.32,https://www.sswpartners.com
PINNBROOK CAPITAL MANAGEMENT LP,312827,812.83,"https://www.pinnbrook.com, https://www.linkedin.com/company/pinnbrook-capital-management"
"REGAL HEALTHCARE CAPITAL MANAGEMENT, LLC",294006,812.19,"HTTPS://WWW.REGALHCP.COM/, https://www.linkedin.com/company/regal-healthcare-capital-partners/"
"AFFINITY ASSET ADVISORS, LLC",312788,807.9,"http://affinityadv.com/, https://www.linkedin.com/company/affinityassetadvisors/about/, https://x.com/Affinity_Asset"
OPTIMA ASSET MANAGEMENT LLC,299826,807.39,https://www.optima.com
"ENHALUS CAPITAL, LP",313321,803.12,"https://www.enhalus.com, https://www.linkedin.com/company/enhalus-capital-lp/about/"
"POLYMER CAPITAL MANAGEMENT (US), LLC",316277,802.51,https://www.linkedin.com/company/polymer-capital-united-states/
CARBON DIRECT CAPITAL MANAGEMENT LLC,317548,799.97,"https://carbondirectcapital.com, https://www.linkedin.com/company/carbon-direct-capital"
"FLATIRON RR LLC, MANAGER SERIES",314505,798.59,N/A
"LISC FUND MANAGEMENT, LLC",304733,797.47,"https://www.linkedin.com/showcase/charlotte-housing-opportunity-investment-fund, https://www.liscfm.com, https://www.liscfundmanagement.com, https://www.liscsi.org, https://www.linkedin.com/showcase/dallas-housing-opportunity-fund, https://www.linkedin.com/showcase/new-york-forward-loan-fund, https://www.linkedin.com/showcase/pbf-family-of-funds, https://www.linkedin.com/showcase/southern-opportunity-and-resilience-fund, https://www.linkedin.com/showcase/cleveland-housing-investment-fund, https://www.linkedin.com/showcase/national-strategic-investments-impact-fund, https://www.linkedin.com/showcase/entrepreneurs-opportunity-community-loan-fund, https://www.linkedin.com/showcase/detroit-housing-for-the-future-fund, https://www.linkedin.com/company/local-initiatives-support-corporation-lisc, https://www.youtube.com/@liscstrategicinvestments, https://www.liscstrategicinvestments.org, https://www.lisc.org, https://www.liscfundmanagement.org, https://www.facebook.com/lisc.org, https://www.instagram.com/lisc_hq, https://www.youtube.com/@liscfundmanagement, https://www.liscfm.org, https://www.linkedin.com/company/lisc-fund-management, https://www.youtube.com/@localinitiatives, https://x.com/LISC_HQ"
"337 FRONTIER CAPITAL, LP",284266,795.34,HTTPS://WWW.337FRONTIER.COM
KR CAPITAL LP,338229,792.36,https://krlp.com
ODEON CAPITAL ADVISORS LLC,307619,786.05,"https://www.odeonadvisors.com, https://www.jetcapitalmanagement.net"
"CORNER CAPITAL MANAGEMENT, LLC",317086,784.11,"https://www.linkedin.com/company/corner-capital-mgmt, http://cornerventures.com, https://x.com/cornerventure, https://www.linkedin.com/company/corner-ventures, http://cornercapitalmgmt.com"
"GLOBAL EVOLUTION USA, LLC",161677,783.5,"HTTP://WWW.GLOBALEVOLUTION.COM, https://www.linkedin.com/company/global-evolution-usa-llc/"
DELTEC ASSET MANAGEMENT LLC,104068,782.76,"HTTP://WWW.DELTEC-NY.COM, https://www.linkedin.com/company/deltec-asset-management"
AMHERST CAPITAL MANAGEMENT LLC,174130,782.56,"HTTPS://WWW.TWITTER.COM/AMHERSTCAPITAL, https://www.amherst.com/, https://www.linkedin.com/company/amherst/"
MOERUS CAPITAL MANAGEMENT LLC,282399,778.56,"HTTPS://MOERUSCAP.COM, HTTPS://WWW.LINKEDIN.COM/COMPANY/MOERUS-CAPITAL-MANAGEMENT-LLC/, HTTPS://x.com/MoerusCapital/"
"FINE CAPITAL PARTNERS, L.P.",156889,776.7,N/A
SIERRA CREST INVESTMENT MANAGEMENT LLC,300069,772.6,N/A
"WHITEFORT CAPITAL MANAGEMENT, LP",288534,772.57,HTTP://WWW.WHITEFORTCAPITAL.COM
"KEYFRAME CAPITAL PARTNERS, L.P.",305812,772.44,"https://www.linkedin.com/company/keyframecapital, https://www.keyframecapital.com"
FINTECH COLLECTIVE MANAGEMENT LLC,288031,771.14,"https://twitter.com/fintech_io, https://www.fintech.io/, https://www.linkedin.com/company/fintech-collective/"
WATERFRONT CAPITAL PARTNERS LLC,167801,770.69,https://www.linkedin.com/company/waterfront-capital-partners/
"ALTUM CAPITAL MANAGEMENT, LLC",160123,770.62,"https://www.linkedin.com/company/altum-capital-management/about/, HTTPS://WWW.ALTUMCREDIT.COM"
MOON CAPITAL MANAGEMENT LP,156460,757.96,"HTTPS://WWW.MOONCAPITAL.COM, HTTPS://WWW.LINKEDIN.COM/COMPANY/MOON-CAPITAL"
"SUMMIT STREET CAPITAL MANAGEMENT, LLC",160129,757.47,"HTTP://WWW.SSVFUNDS.COM, https://www.linkedin.com/company/summit-street-capital-management/"
"CCMP GROWTH ADVISORS, LP",322926,756.82,HTTP://WWW.CCMPGROWTH.COM
GCP CAPITAL PARTNERS LLC,154457,754.88,HTTP://WWW.GCPCAPITAL.COM/
TRI LOCUM PARTNERS LP,309678,752.91,N/A
"DME ADVISORS, LP",157074,749.4,"HTTPS://WWW.GREENLIGHTCAPITAL.COM, HTTP://WWW.LINKEDIN.COM/COMPANY/GREENLIGHT-CAPITAL/ABOUT/"
DERBY LANE PARTNERS LP,334739,746.27,"https://www.derbyln.com/, https://www.linkedin.com/company/derby-lane-partners"
"WATER ASSET MANAGEMENT, LLC",151508,746.13,"HTTP://WWW.PVWATER.COM, HTTP://WWW.WATERINV.COM"
"TREO ASSET MANAGEMENT, LLC",164982,744.4,http://www.treoam.com
OLD FARM PARTNERS LP,283573,744.15,"http://www.oldfarmpartners.com/, https://www.linkedin.com/company/old-farm-partners/"
QUAD PARTNERS LLC,160097,732.24,"HTTP://WWW.QUADPARTNERS.COM, HTTPS://WWW.LINKEDIN.COM/COMPANY/QUAD-PARTNERS-LLC"
TRIMER CAPITAL MANAGEMENT LP,319428,731.15,"https://www.trimercap.com/, https://www.crunchbase.com/organization/trimer-capital, https://www.linkedin.com/company/trimer"
"ACHIEVE PARTNERS MANAGEMENT, LLC",299883,722.25,"https://www.linkedin.com/company/achieve-partners-llc/, http://www.achievepartners.com"
"AMPFIELD MANAGEMENT, L.P.",292722,721.26,"HTTPS://WWW.LINKEDIN.COM/COMPANY/AMPFIELD-MANAGEMENT/, HTTPS://WWW.AMPFIELDMANAGEMENT.COM"
BAILLIE GIFFORD INTERNATIONAL LLC,305849,715.39,"https://www.linkedin.com/company/baillie-gifford/, HTTPS://WWW.FACEBOOK.COM/BAILLIE-GIFFORD-CO-152587304764159, https://www.youtube.com/user/BaillieGifford, https://www.linkedin.com/showcase/baillie-gifford-usa/, https://twitter.com/bailliegifford?lang=en, https://www.Bailliegifford.com, https://www.scottishmortgage.com/en/uk/individual-investors, https://www.linkedin.com/company/scottish-mortgage-uk/?viewAsMember=true, https://www.youtube.com/channel/UC8i_Ax5b8DD2lpkiYpGY4Kg, https://twitter.com/ScotMortgage_UK/"
"MERCHANTS INVESTMENT PARTNERS, LLC",314794,711.24,N/A
TAPROOT MANAGEMENT LP,335061,710.27,"https://www.taprootmanagement.com/, https://www.linkedin.com/company/taproot-management"
"NEW LEGACY GROUP, LLC",160969,707.85,"HTTPS://WWW.CRUNCHBASE.COM/ORGANIZATION/NEW-LEGACY-GROUP, HTTP://WWW.NEWLEGACY.COM/, HTTPS://WWW.LINKEDIN.COM/COMPANY/NEW-LEGACY/"
HALLE CAPITAL MANAGEMENT LP,307156,706.42,"https://www.linkedin.com/company/halle-capital-management, https://hallecapital.com/"
LEPERCQ DE NEUFLIZE ASSET MANAGEMENT LLC,120109,704.04,"HTTPS://WWW.LINKEDIN.COM/COMPANY/LEPERCQ-DE-NEUFLIZE-&-CO-/, HTTP://WWW.LEPERCQ.COM/?GO=LEPERCQ-DE-NEUFLIZE-ASSET-MANAGEMENT-LLC"
THE QUARRY LP,323449,702.54,"https://www.linkedin.com/company/the-quarry-lp/, https://quarrylp.com/"
FALCONPOINT CAPITAL PARTNERS LLC,327260,700.19,https://www.falconpointpartners.com/
"APIS CAPITAL ADVISORS, LLC",131200,700.06,"HTTPS://WWW.LINKEDIN.COM/COMPANY/APIS-CAPITAL-ADVISORS-LLC/, HTTPS://WWW.APISCAPITAL.COM"
SNOWHAWK LP,325176,699.26,"http://www.snowhawkpartners.com, https://www.linkedin.com/company/ snowhawk/"
"AURELIUS CAPITAL MANAGEMENT, LP",157325,697.88,HTTP://WWW.AURELIUS-CAPITAL.COM
RIVA RIDGE CAPITAL MANAGEMENT LP,137716,694.65,HTTP://WWW.RIVARIDGECAPITAL.COM
LONG ARC CAPITAL LP,290245,693.8,"HTTPS://WWW.LINKEDIN.COM/COMPANY/LONG-ARC-CAPITAL/, HTTPS://WWW.LONGARC.COM"
"PRAESIDIUM INVESTMENT MANAGEMENT COMPANY, LLC",137980,693.5,"https://www.linkedin.com/company/praesidium-investment-management-company-llc/, HTTPS://WWW.PRAESIDIUMIM.COM"
RMWC,147359,690.4,"https://www.linkedin.com/company/rmwchome/, HTTP://WWW.RMWC.COM"
CKC CAPITAL LLC,168967,687.07,"HTTP://WWW.CKCCAPITAL.COM, https://www.linkedin.com/company/13997460/admin/"
MAVERICK REAL ESTATE PARTNERS LLC,269825,684.43,"HTTP://WWW.MAVERICKREP.COM, https://www.linkedin.com/company/maverickrep/about/"
NET RETURN ASSET MANAGEMENT LLC,159895,683.11,N/A
"LYRIC CAPITAL MANAGEMENT GROUP, L.P.",299917,682.66,"https://www.linkedin.com/company/lyric-capital-group, http://www.lyriccapitalgroup.com"
"ROSECLIFF VENTURE MANAGEMENT, LLC",300188,680.39,"http://www.rosecliff.com, https://www.linkedin.com/company/rosecliff-ventures/about/"
STELAC CAPITAL PARTNERS LLC,163081,680.01,HTTP://STELAC.COM/CAPITAL-PARTNERS
SC MANAGEMENT LLC,311359,679.9,"https://www.linkedin.com/company/scholdings, https://twitter.com/sc_holdings, http://sc.holdings"
TRANSATLANTIQUE PRIVATE WEALTH LLC,169820,676.19,"https://www.linkedin.com/showcase/transatlantique-private-wealth/, https://www.banquetransatlantique.com/fr/international/private-wealth-usa.html"
BOW STREET LLC,158043,672.96,HTTP://WWW.BOWSTREETLLC.COM/
STANDARD GENERAL L.P.,151831,670.27,"HTTPS://WWW.LINKEDIN.COM/COMPANY/STANDARDGENERALNYC/, HTTP://WWW.STANDARDGENERALLP.COM/"
SANDGLASS CAPITAL ADVISORS LLC,299418,669.41,HTTP://WWW.SANDGLASSCAPITAL.COM
STONE TEMPLE PARTNERS LLC,332833,668.71,"https://www.linkedin.com/company/stone-temple-partners-llc, https://www.stpartners.co/"
WEMBLEY STRATEGIC ADVISORY LLC,305692,662.76,N/A
ALTA FUNDAMENTAL ADVISERS LLC,168642,659.6,N/A
GATEWOOD CAPITAL MANAGEMENT LLC,282128,658.24,"HTTPS://WWW.LINKEDIN.COM/COMPANY/GATEWOOD-CAPITAL-PARTNERS, HTTP://WWW.GATEWOODCAPITAL.COM"
"ASTARA CAPITAL PARTNERS, L.P.",317647,657.55,"https://astaracapital.com, https://www.linkedin.com/company/astara-capital-partners/"
"WARANA CAPITAL, LLC",288311,652.0,HTTPS://WWW.WARANACAP.COM/
AUSTRALIS PARTNERS (ADVISERS) LLC,175505,651.84,HTTP://WWW.AUSTRALISPARTNERS.COM
"CANARAS CAPITAL MANAGEMENT, LLC",142766,651.0,"https://www.linkedin.com/company/canaras-capital-management/about/, HTTPS://WWW.FACEBOOK.COM/CANARAS/, HTTP://WWW.CANARAS.COM"
"LODGE HILL CAPITAL, LLC",165973,649.97,N/A
RADIAL EQUITY PARTNERS LP,308513,649.92,"https://radialequity.com/, https://www.linkedin.com/company/radial-equity-partners"
MONTROSE ADVISORS INCORPORATED,105918,647.46,HTTP://WWW.MONTROSEADVISORS.COM
"HUNTING HILL GLOBAL CAPITAL, LLC",167481,644.63,"HTTP://WWW.HUNTINGHILL.COM, https://www.linkedin.com/company/huntinghill"
"CORSAIR CAPITAL MANAGEMENT, L.P.",157029,643.48,HTTPS://WWW.CORSAIRCAP.COM
"HARVEST MANAGEMENT, L.L.C.",124477,643.47,N/A
H PARTNERS MANAGEMENT LLC,161041,639.95,HTTP://WWW.HPARTNERSLP.COM
"MONEDA USA, INC.",157833,635.76,HTTPS://WWW.MONEDAUSA.COM
GOALVEST ADVISORY LLC,285374,628.35,"HTTPS://WWW.LINKEDIN.COM/IN/SEVASTI-BALAFAS-CFA-CPWA%C2%AE-0235231/, HTTPS://GOALVESTADVISORY.COM, https://www.linkedin.com/company/goalvest-advisory"
COVISION ADVISORS LLC,285328,628.1,N/A
"STONE-GOFF MANAGEMENT, LLC",281205,626.15,"https://www.linkedin.com/company/stone-goff-partners, HTTP://WWW.STONEGOFF.COM/"
STEMPOINT CAPITAL LP,324248,624.98,"https://www.stempointcapital.com/, https://www.linkedin.com/company/stempoint-capital-lp"
GRANT AVENUE CAPITAL LLC,313104,623.02,"https://grantave.com/, https://www.linkedin.com/company/grant-avenue-capital, https://www.grantavecap.com"
BPGC MANAGEMENT LP,309916,619.23,https://www.bpgc.com
"KETTLE HILL CAPITAL MANAGEMENT, LLC",163722,616.64,HTTP://WWW.KETTLEHILL.COM
ARGENTEM CREEK PARTNERS LP,282070,615.13,"HTTP://WWW.ARGENTEMCREEK.COM/, HTTPS://WWW.LINKEDIN.COM/COMPANY/ARGENTEM-CREEK-PARTNERS"
"BROOKFIELD ASSET MANAGEMENT PIC BMG, LLC",312797,614.35,HTTPS://WWW.BROOKFIELD.COM/
GOOD SPRINGS CAPITAL LP,326803,610.74,"https://goodspringscap.com/, https://www.linkedin.com/company/good-springs-capital/about/"
"NINE THIRTY CAPITAL MANAGEMENT, LLC",130545,609.29,HTTP://WWW.930CAPITAL.COM/
SPIRE CAPITAL MANAGEMENT LLC,161581,605.36,"HTTPs://SPIRECAPITAL.COM, https://www.linkedin.com/company/spire-capital-partners/"
"MAYTUS CAPITAL MANAGEMENT, LLC",288640,597.81,"https://www.linkedin.com/company/maytus-capital-management-llc/about/, https://maytuscapital.com/"
G2 INVESTMENT PARTNERS MANAGEMENT LLC,163921,594.24,"HTTPS://TWITTER.COM/G2IPARTNERS, https://www.G2IPartners.com, https://www.linkedin.com/company/g2-investment-partners"
ALIGNMENT GROWTH MANAGEMENT LLC,319136,593.2,"https://alignmentgrowth.com/, https://www.linkedin.com/company/alignment-growth, https://medium.com/@AlignmentGrowth"
FAROL INVESTMENT ADVISERS LP,166565,592.4,"HTTPS://WWW.LINKEDIN.COM/COMPANY/FAROL-ASSET-MANAGEMENT-LP/, HTTP://WWW.FAROLAM.COM"
"HARSPRING CAPITAL MANAGEMENT, LLC",170882,589.77,N/A
"PRELUDE GROWTH PARTNERS MANAGEMENT COMPANY, LLC",293249,589.76,"https://preludegrowth.com/, https://www.linkedin.com/company/prelude-growth-partners/"
"MB GLOBAL ADVISERS, LLC",166823,589.54,"HTTPS://WWW.LINKEDIN.COM/COMPANY/MB-GLOBAL-PARTNERS, HTTP://WWW.MBGLOBALPARTNERS.COM"
"JORDAN/ZALAZNICK ADVISERS, INC.",160932,587.15,"HTTP://WWW.JZPARTNERS.COM, HTTP://WWW.JZIEUROPE.COM"
LEVCO CAPITAL LP,161117,585.0,N/A
KARYA CAPITAL MANAGEMENT LLC,160413,582.43,N/A
ATW PARTNERS LLC,283146,581.15,"http://linkedin.com/company/atw-partners-llc/about/, HTTPS://WWW.ATWPARTNERS.COM"
"ENTRYPOINT CAPITAL, LLC",313946,578.04,"https://entrypointcap.com/, https://www.linkedin.com/company/entrypointcap"
"AXIAL READE CAPITAL, LP",301386,576.67,"https://www.axialreade.com/, https://www.linkedin.com/company/axial-reade-capital/about/"
NOMURA ASSET MANAGEMENT U.S.A. INC,108222,576.31,https://www.nomura.com/nam-usa/
UNTITLED INVESTMENTS LP,306357,574.01,"https://www.linkedin.com/company/untitled-investments/about/, https://www.untitledinvestments.com/"
"MSP SPORTS ADVISORS, LLC",311037,565.64,http://mspsportscapital.com/
ALIGHT CAPITAL MANAGEMENT LP,174705,559.01,https://www.alightcapital.com/
SPRUCE STREET CAPITAL LP,333213,555.9,https://www.linkedin.com/company/spruce-street-capital-lp/
BRIDGER MANAGEMENT LLC,160738,553.41,"HTTPS://WWW.BRIDGERCAPITAL.COM, https://www.linkedin.com/company/bridger-management-llc/"
TURNBRIDGE RE FUND MANAGEMENT COMPANY I LLC,291631,552.74,"http://www.turnbridgeeq.com/, https://www.linkedin.com/company/turnbridge-equities/about/"
GARNET CREDIT MANAGEMENT LLC,334755,552.41,Http://www.garnetcredit.com
TERRAMONT INFRASTRUCTURE MANAGEMENT LLC,317282,549.91,"HTTPS://terramontinfra.com, https://www.linkedin.com/company/terramont-infrastructure/"
SARAZA MANAGEMENT LP,317572,547.44,https://www.sarazamgmt.com
"CATALUR CAPITAL MANAGEMENT, LP",307830,547.27,N/A
"NORTH ISLAND VENTURES, LLC",309291,544.78,"https://X.com/NorthIslandVC, https://www.linkedin.com/company/north-island-ventures/, https://www.logosfund.io, https://www.northisland.ventures/"
SHERBORNE INVESTORS MANAGEMENT LP,160178,541.42,HTTP://WWW.SHERBORNEINVESTORS.COM
REPUBLIC CAPITAL ADVISER LLC,316437,537.68,"http://republiccapital.co, https://angel.co/republic/syndicate, https://www.linkedin.com/company/republic-capital/mycompany/, https://x.com/_rcapital_, https://republiccapital.medium.com/"
BAYBERRY CAPITAL PARTNERS LP,300381,533.43,"HTTPS://BAYBERRYCP.COM, HTTPS://BAYBERRYCAPITALPARTNERSLP.COM, https://www.linkedin.com/company/bayberry-capital-partners-lp"
AXON CAPITAL LP,158281,533.32,"HTTP://TPGAXON.COM, HTTP://AXONCAP.COM, https://www.linkedin.com/company/axoncap/about/"
PEMBROOK CAPITAL MANAGEMENT LLC,161420,532.09,HTTP://WWW.PEMBROOKGROUP.COM
"NEW SILK ROUTE ADVISORS, L.P.",161339,528.9,"HTTPS://WWW.LINKEDIN.COM/COMPANY/NEW-SILK-ROUTE/ABOUT/, HTTP://WWW.NSRPARTNERS.COM"
PARAMOUNT GROUP REAL ESTATE ADVISOR LLC,161324,528.51,HTTP://WWW.PGRE.COM
"BEACONLIGHT CAPITAL, LLC",158390,528.47,"HTTPS://WWW.LINKEDIN.COM/COMPANY/BEACONLIGHT-CAPITAL/, HTTPS://WWW.BEACONLIGHTCAP.COM/"
"ABR DYNAMIC FUNDS, LLC",171847,526.85,"HTTP://WWW.ABRFUNDS.COM, HTTP://WWW.ABRDYNAMICFUNDS.COM"
"4X4 CAPITAL, LLC",316647,524.32,"https://www.linkedin.com/company/4x4capital/, https://4x4capital.com/"
"WASSERSTEIN DEBT OPPORTUNITIES MANAGEMENT, LP",286158,522.28,"HTTP://WWW.WASSERCO.COM, HTTPS://WWW.LINKEDIN.COM/COMPANY/WASSERSTEIN-DEBT-OPPORTUNITIES"
CM INVESTMENT PARTNERS LLC,168941,520.33,N/A
PACT CAPITAL LLC,333871,520.0,"https://pactcapitalpartners.com/, https://www.linkedin.com/company/pact-capital-partners/"
LIONSTONE CAPITAL MANAGEMENT LLC,157603,519.76,N/A
OFF ROAD CAPITAL MANAGEMENT LLC,285344,518.14,HTTP://OFFROADCAPITALPARTNERS.COM/
"LINCOLNSHIRE MANAGEMENT, INC.",157144,515.99,"HTTP://WWW.LINCOLNSHIREMGMT.COM, HTTP://WWW.LINKEDIN.COM/COMPANY/LINCOLNSHIRE-MANAGEMENT"
"VICTOR CAPITAL PARTNERS MANAGEMENT COMPANY, LP",313929,513.22,"https://www.linkedin.com/company/victor-capital-partners/about/, https://www.victorcapitalpartners.com"
